WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((73830.066 411958.738,73830.753 411958.207,73835.292 411965.146,73823.535 411973.067,73823.366 411973.181,73818.428 411966.573,73830.066 411958.738))","0580100000239951",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239951,"1880",Pand in gebruik,woonfunctie,"247","247","1",pand.80ef8ccc-895a-4e24-abd5-a44c0e469147
"POLYGON ((73831.505 411984.147,73844.778 411977.215,73846.903 411981.285,73844.059 411982.77,73847.732 411989.804,73844.078 411991.713,73843.247 411990.122,73836.473 411993.659,73831.505 411984.147))","0580100000239952",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239952,"1930",Pand in gebruik,woonfunctie,"336","336","1",pand.8c3e4eae-ac0b-4b38-991e-e4d7ccb95bdd
"POLYGON ((73726.711 411844.537,73728.252 411848.637,73728.381 411848.587,73729.134 411850.526,73729.451 411851.307,73720.434 411854.809,73711.417 411858.311,73711.223 411857.937,73708.553 411851.596,73726.711 411844.537))","0580100000239953",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239953,"1893",Pand in gebruik,woonfunctie,"389","389","1",pand.d3a3db06-50dc-4901-99f0-c97088e582d1
"POLYGON ((73802.004 412204.88,73811.276 412200.823,73813.878 412206.774,73801.242 412212.298,73799.678 412208.72,73804.365 412206.671,73803.484 412204.656,73802.159 412205.235,73802.004 412204.88))","0580100000241566",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241566,"1935",Pand in gebruik,woonfunctie,"117","117","1",pand.4859b0bb-f9a1-4778-a883-5d5b0b1be969
"POLYGON ((73792.024 411937.079,73797.339 411934.296,73800.447 411939.985,73800.602 411940.318,73796.469 411942.486,73795.141 411943.205,73792.024 411937.079))","0580100000241567",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241567,"1880",Pand in gebruik,,,,"0",pand.d2cd128a-1f30-4b38-ba89-ff7a9e27bc5d
"POLYGON ((73792.521 412275.308,73794.432 412278.816,73792.004 412280.139,73790.092 412276.632,73792.521 412275.308))","0580100000241568",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241568,"1954",Pand in gebruik,,,,"0",pand.f54132ee-ed55-4b34-906f-828727e4f2cc
"POLYGON ((73799.971 412337.882,73793.075 412344.097,73789.438 412340.042,73798.311 412331.927,73800.028 412330.387,73801.84 412332.407,73800.123 412333.947,73798.08 412335.779,73799.971 412337.882))","0580100000241569",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241569,"1935",Pand in gebruik,woonfunctie,"78","78","1",pand.e480d820-c91c-4a4b-a44e-8a64af420938
"POLYGON ((73669.443 412197.64,73673.903 412193.648,73678.553 412198.843,73674.093 412202.834,73669.443 412197.64))","0580100000243426",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243426,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.36f8884e-7b0d-46b3-bd0b-601424c98023
"POLYGON ((73658.642 412172.274,73664.191 412167.315,73668.781 412172.451,73669.063 412172.199,73670.278 412173.724,73670.063 412173.912,73667.97 412175.749,73666.758 412174.259,73663.231 412177.411,73658.642 412172.274))","0580100000243427",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243427,"1954",Pand in gebruik,woonfunctie,"101","101","1",pand.74a00124-26b8-42af-b879-28111d583725
"POLYGON ((73647.393 412182.327,73653.092 412177.234,73657.682 412182.37,73651.983 412187.463,73647.393 412182.327))","0580100000243428",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243428,"1954",Pand in gebruik,woonfunctie,"96","96","1",pand.ad57a174-1aed-4732-9523-b67eb68abc16
"POLYGON ((73653.092 412177.234,73658.642 412172.274,73663.231 412177.411,73657.682 412182.37,73653.092 412177.234))","0580100000243429",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243429,"1954",Pand in gebruik,woonfunctie,"96","96","1",pand.7d950fd8-b151-4d35-9f8f-43b7d192a9ae
"POLYGON ((73648.107 412155.61,73652.574 412151.579,73657.209 412156.716,73652.742 412160.747,73648.107 412155.61))","0580100000243430",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243430,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.0b47ef87-0286-4253-9ab9-65728eba3bdd
"POLYGON ((73643.641 412159.64,73648.107 412155.61,73652.742 412160.747,73650.509 412162.762,73648.276 412164.777,73643.641 412159.64))","0580100000243431",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243431,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.69328c6a-7eff-41c2-beb8-3b55bcf52f06
"POLYGON ((73634.559 412167.835,73639.174 412163.671,73643.809 412168.807,73639.194 412172.972,73634.559 412167.835))","0580100000243432",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243432,"1954",Pand in gebruik,woonfunctie,"74","74","1",pand.6208631c-8683-4dfe-888c-2d06ed4a8cf6
"POLYGON ((73632.258 412127.996,73637.011 412123.672,73641.783 412128.918,73637.03 412133.242,73632.258 412127.996))","0580100000243433",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243433,"1959",Pand in gebruik,woonfunctie,"79","79","1",pand.8a9c9435-0ad7-4eb0-b2db-b51b1a84416c
"POLYGON ((73627.652 412132.185,73632.258 412127.996,73637.03 412133.242,73632.424 412137.431,73627.652 412132.185))","0580100000243434",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243434,"1959",Pand in gebruik,woonfunctie,"79","79","1",pand.2add06eb-c58c-4225-a9b3-e26679c4ff7e
"POLYGON ((73623.047 412136.375,73627.652 412132.185,73632.424 412137.431,73627.819 412141.621,73623.047 412136.375))","0580100000243435",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243435,"1959",Pand in gebruik,woonfunctie,"79","79","1",pand.f1dce85c-0d5c-41eb-95f0-f80077480688
"POLYGON ((74320.478 411887.881,74332.201 411884.004,74333.906 411889.116,74322.216 411893.062,74322.197 411893.007,74320.478 411887.881))","0580100000243006",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243006,"1975",Pand in gebruik,woonfunctie,"128","128","1",pand.357de11e-763f-486c-b602-b20074b56ba1
"POLYGON ((73720.434 411854.809,73729.451 411851.307,73729.134 411850.526,73728.381 411848.587,73729.117 411848.3,73729.176 411848.471,73729.387 411848.392,73732.675 411847.156,73735.374 411855.094,73714.167 411863.626,73711.417 411858.311,73720.434 411854.809))","0580100000239954",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239954,"1875",Pand in gebruik,"bijeenkomstfunctie,woonfunctie","143","143","1",pand.de93f4f5-6f2e-4186-b30b-60004dd9a265
"POLYGON ((73669.954 411804.753,73675.229 411801.016,73677.042 411799.547,73677.129 411799.67,73685.986 411812.237,73679.218 411817.302,73669.954 411804.753))","0580100000239955",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239955,"1910",Pand in gebruik,logiesfunctie,"262","262","1",pand.4cc145a5-552d-407f-b6a5-0323c2f3675b
"POLYGON ((74112.232 412001.819,74114.304 412001.144,74114.312 412001.141,74115.292 412004.046,74115.313 412004.098,74113.24 412004.803,74112.232 412001.819))","0580100000239958",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239958,"1993",Pand in gebruik,,,,"0",pand.ece01626-c26a-44af-8107-d6a79bdca8f0
"POLYGON ((74488.751 412522.21,74488.211 412518.799,74530.125 412512.158,74532.535 412527.368,74490.621 412534.01,74488.751 412522.21))","0580100000241994",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241994,"2005",Pand in gebruik,industriefunctie,"761","761","1",pand.333cad18-5d4e-44f4-a505-f53353d3f913
"POLYGON ((73191.115 412063.995,73197.107 412062.144,73197.836 412064.505,73200.948 412063.543,73203.621 412072.196,73198.136 412073.891,73197.616 412072.209,73194.016 412073.374,73191.115 412063.995))","0580100000241995",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241995,"1986",Pand in gebruik,woonfunctie,"152","152","1",pand.e9ee03a7-86a0-4e37-93c3-3a9442f26671
"POLYGON ((73169.067 412074.65,73175.379 412082.375,73172.689 412084.607,73173.893 412086.058,73169.474 412089.727,73163.499 412082.53,73165.92 412080.519,73164.32 412078.591,73169.067 412074.65))","0580100000241996",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241996,"1986",Pand in gebruik,woonfunctie,"149","149","1",pand.484edc3e-11fc-4a0b-9968-196d03d0fbfd
"POLYGON ((73169.067 412074.65,73173.872 412070.661,73175.462 412072.577,73177.926 412070.531,73183.837 412077.651,73179.435 412081.305,73178.306 412079.945,73175.379 412082.375,73169.067 412074.65))","0580100000241997",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241997,"1986",Pand in gebruik,woonfunctie,"149","149","1",pand.eed453b6-7997-48ac-afca-65e9a6daab3e
"POLYGON ((73792.521 412275.308,73794.158 412274.416,73796.07 412277.923,73794.432 412278.816,73792.521 412275.308))","0580100000241570",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241570,"1954",Pand in gebruik,,,,"0",pand.b3229ba5-1f29-4299-af26-2c10fd1634c9
"POLYGON ((73792.47 412496.109,73795.918 412500.0,73800.322 412504.971,73796.291 412508.564,73790.431 412501.995,73788.793 412500.0,73788.421 412499.547,73792.47 412496.109))","0580100000241571",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241571,"1996",Pand in gebruik,woonfunctie,"106","106","1",pand.1770130f-3088-4c4a-afc2-17797092f5b4
"POLYGON ((73473.847 412144.869,73474.334 412144.699,73474.801 412146.071,73474.361 412146.246,73473.847 412144.869))","0580100000239960",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239960,"1993",Pand in gebruik,,,,"0",pand.04458a35-eef3-4777-a524-0bb4c884fa22
"POLYGON ((73798.489 412494.848,73803.103 412500.0,73804.345 412501.387,73800.322 412504.971,73795.918 412500.0,73792.47 412496.109,73796.518 412492.67,73798.449 412494.884,73798.489 412494.848))","0580100000241572",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241572,"1996",Pand in gebruik,woonfunctie,"106","106","1",pand.c74e5f09-bee3-4149-a565-7b44937ba2be
