WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((4.21115701440385 51.6939226833732,4.21115772459612 51.6939231849162,4.21126259991099 51.6938656187327,4.21131975938839 51.6939058624189,4.21129259797693 51.6939207636545,4.21132707259842 51.693945039305,4.21125166336739 51.6939864060398,4.2112181545717 51.6939628142626,4.21120647432188 51.6939692142252,4.21121455676926 51.6939749047051,4.21119752048953 51.6939842443246,4.21113064526511 51.6939371520515,4.21115701440385 51.6939226833732))","0580100000244135",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244135,"1978",Pand in gebruik,woonfunctie,"168","168","1",pand.a191da34-8df1-45ac-9ea9-be88e0bc29fe
"POLYGON ((4.21296386036661 51.6940448728985,4.21297062804295 51.6940499567798,4.21296672568288 51.6940520660974,4.21299085338942 51.6940693157523,4.21295545340541 51.6940884496356,4.21298378480926 51.6941086989175,4.21289463862127 51.6941577406771,4.21283574632269 51.6941156465804,4.21296386036661 51.6940448728985))","0580100000244136",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244136,"1935",Pand in gebruik,woonfunctie,"96","96","1",pand.e1768b96-066a-4f49-8970-84801758c2d4
"POLYGON ((4.20692707086422 51.6938141956333,4.20703210018919 51.6937575786317,4.20706516843834 51.6937397534448,4.20709947149324 51.6937644151685,4.20714871093649 51.6937998257707,4.20707215527511 51.693841196267,4.20704375321956 51.6938209897693,4.20698260288096 51.6938540205444,4.20692707086422 51.6938141956333))","0580100000243223",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243223,"1990",Pand in gebruik,woonfunctie,"159","159","1",pand.c6d5f010-bc30-489a-8667-958ffc01715d
"POLYGON ((4.20703210018919 51.6937575786317,4.20692707086422 51.6938141956333,4.20687195080423 51.6937746625046,4.20693288818996 51.693741476823,4.2069046028834 51.6937212355098,4.20698084246665 51.6936797810339,4.20703122920857 51.6937155628209,4.20699827430539 51.6937334790335,4.20703210018919 51.6937575786317))","0580100000243224",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243224,"1990",Pand in gebruik,woonfunctie,"149","149","1",pand.c7caf5e4-9e6d-4d78-91a8-d1e9dab6e64c
"POLYGON ((4.20611202332603 51.6934860675552,4.20622053835811 51.6934477527056,4.20625943234504 51.6934899002334,4.20615112969671 51.6935283880579,4.20611202332603 51.6934860675552))","0580100000243225",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243225,"1988",Pand in gebruik,woonfunctie,"100","100","1",pand.f3722ca0-d57c-4fed-954a-6c05fd0991f2
"POLYGON ((4.20603165716993 51.6937758274922,4.20610394502887 51.6938536218546,4.20603337557348 51.6938789701739,4.20598328902997 51.6938250685348,4.2059469319262 51.6938380959145,4.20589755448891 51.693784740748,4.20593508016175 51.6937712757046,4.20596222911578 51.6938006748888,4.20603165716993 51.6937758274922))","0580100000243226",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243226,"1989",Pand in gebruik,woonfunctie,"112","112","1",pand.c69d5cc8-546b-4fdd-88a1-30cd5d6f8997
"POLYGON ((4.2059445154528 51.6911123868467,4.20599592776154 51.6910998888779,4.20601758632901 51.6911373140828,4.20596701547697 51.6911497126767,4.20587466706394 51.6911712095273,4.20585208457026 51.6911337210397,4.20585626109563 51.6911327473768,4.20584396458093 51.6911123434526,4.20580684186488 51.6911209852597,4.20576844131155 51.6910572681844,4.20585410996022 51.6910373311041,4.20589253812954 51.6911011023652,4.20588600407797 51.6911026275651,4.20589837032732 51.6911231310707,4.2059445154528 51.6911123868467))","0580100000242235",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000242235,"1955",Pand in gebruik,woonfunctie,"129","129","1",pand.659afe4c-ab4b-4f94-bbc7-2851f211e952
"POLYGON ((4.20486053569014 51.6937695390137,4.20481575102353 51.6937945266418,4.20483291357906 51.693806412979,4.20474788037844 51.6938538360847,4.20460275165909 51.6937533355088,4.20468791684765 51.6937058419264,4.20473110724993 51.6937357539503,4.20477577433907 51.6937108370819,4.20486053569014 51.6937695390137))","0580100000244548",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244548,"1955",Pand in gebruik,woonfunctie,"226","226","1",pand.66287bda-5a5c-48ad-8962-3ecd2430064e
"POLYGON ((4.20499807823847 51.6939339665795,4.20493220023694 51.6939701667467,4.20489167701201 51.6939416840576,4.20482665821264 51.6939776591177,4.20476160517437 51.6939319389427,4.20486561014898 51.6938747831529,4.20492596170473 51.69391720168,4.20495305242568 51.6939023191715,4.20499807823847 51.6939339665795))","0580100000244549",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244549,"1992",Pand in gebruik,woonfunctie,"136","136","1",pand.521c0412-44c4-4e85-be22-208e71e1bafe
"POLYGON ((4.20599632600409 51.6920761680137,4.20591966583301 51.6921033335859,4.20594849621485 51.6921347723397,4.2058238337914 51.6921789468779,4.20579477820653 51.6921472720993,4.20586965724177 51.6921207448616,4.20581546975144 51.6920616778535,4.20594192736424 51.6920168742023,4.20599632600409 51.6920761680137))","0580100000244550",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244550,"1984",Pand in gebruik,woonfunctie,"158","158","1",pand.ac42aeba-1f55-4bcf-8d4d-be77fe8740ff
